LabMember,Project,Lab,,,,,,,
A.Hannak,Algorithm Auditing,Auditing Algorithms,,,,,,,
P.Sapiezynski,Algorithm Auditing,Auditing Algorithms,,,,,,,
A.Molavi Kakhki,Algorithm Auditing,Auditing Algorithms,,,,,,,
B.Krishnamurthy,Algorithm Auditing,Auditing Algorithms,,,,,,,
D.Lazer,Algorithm Auditing,Auditing Algorithms,,,,,,,
A.Mislove,Algorithm Auditing,Auditing Algorithms,,,,,,,
C.Wilson,Algorithm Auditing,Auditing Algorithms,,,,,,,
C.Kliman-Silver,Algorithm Auditing,Auditing Algorithms,,,,,,,
G.Soeller,Algorithm Auditing,Auditing Algorithms,,,,,,,
K.Karahalios,Algorithm Auditing,Auditing Algorithms,,,,,,,
C.Sandvig,Algorithm Auditing,Auditing Algorithms,,,,,,,
R.Epstein,Algorithm Auditing,Auditing Algorithms,,,,,,,
R.Robertson,Algorithm Auditing,Auditing Algorithms,,,,,,,
S.Jiang,Algorithm Auditing,Auditing Algorithms,,,,,,,
K.Joseph,Algorithm Auditing,Auditing Algorithms,,,,,,,
L.Friedland,Algorithm Auditing,Auditing Algorithms,,,,,,,
C.Wagner,Algorithm Auditing,Auditing Algorithms,,,,,,,
M.Strohmaier,Algorithm Auditing,Auditing Algorithms,,,,,,,
D.Garcia,Algorithm Auditing,Auditing Algorithms,,,,,,,
H.Nguyen,Algorithms and Theory ,Algorithms and Theory,,,,,,,
A.Shelat,Algorithms and Theory ,Algorithms and Theory,,,,,,,
J.Ullman,Algorithms and Theory ,Algorithms and Theory,,,,,,,
D.Wichs,Algorithms and Theory ,Algorithms and Theory,,,,,,,
R.Rajaraman,Algorithms and Theory ,Algorithms and Theory,,,,,,,
R.Sundaram,Algorithms and Theory ,Algorithms and Theory,,,,,,,
E.Viola,Algorithms and Theory ,Algorithms and Theory,,,,,,,
H.Zhang,Algorithms and Theory ,Algorithms and Theory,,,,,,,
K.Bairaktari,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Chaturvedi,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Cheu,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
J.Doerner,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Hamlin,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
X.Huang,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
P.Ivanov,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
M.Jones,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
Y.Kondi,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
L.Kiffer,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
E.Lee,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
M.Liaee,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
M.Liu,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
B.Maiti,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
T.Mehta,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
T.Nguyen,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
T.Nguyen,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
S.Rosefield,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
D.Saharoy,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
V.Singhal,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
D.Stalfa,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
W.Quach,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Varma,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
L.Zakynthinou,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
J.Liu,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
C.Brodley ,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
B.Healy,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
T.Chitnis,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Priesol,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
M.Cao,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
R.Lewis,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
V.Ahmed,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
K.Blackmon,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
R.Kuzniecky,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
G.Barash,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
C.Carlson,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
B.Quinn,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
W.Doyle,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
J.French,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
O.Devinsky,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
T.Thesen,Applied Machine Learning Group,Applied Machine Learning,,,,,,,
A.Gates,Complex Network Research,Center for Complex Network Research,,,,,,,
D.Gysi,Complex Network Research,Center for Complex Network Research,,,,,,,
M.Kellis,Complex Network Research,Center for Complex Network Research,,,,,,,
A.Barab·si,Complex Network Research,Center for Complex Network Research,,,,,,,
S.Marsella,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
P.Sequeira,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
D.Jeong,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
H.Wang,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
D.Feng,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
N.Yongsatianchot,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
P.Parker,Cognitive Embodied Social Agents,Cognitive Embodied Social Agents Research (CESAR) Lab,,,,,,,
C.Riedl,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
S.Westby,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
Z.Fulker,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
V.Lange,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
N.Lore,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
K.Flaherty,Collaborative Social Systems,Collaborative Social Systems Lab,,,,,,,
R.Patel,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
K.Connaghan,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
D.Fisk,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
L.Haenchen,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
Z.Kopp,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
L.Kuhlmann,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
M.Pervaiz,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
D.Reily,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
J.Thorson,Communication Analysis and Design,Communication Analysis and Design Laboratory (CADLAB),,,,,,,
H.Jimison,Consortium on Technology for Proactive Care,Consortium on Technology for Proactive Care,,,,,,,
M.Pavel,Consortium on Technology for Proactive Care,Consortium on Technology for Proactive Care,,,,,,,
X.Li,Consortium on Technology for Proactive Care,Consortium on Technology for Proactive Care,,,,,,,
M.Kos,Consortium on Technology for Proactive Care,Consortium on Technology for Proactive Care,,,,,,,
D.Sternad,From Action to Interaction; Complex Object Manipulation,Action Lab,,,,,,,
D.Sternad,Assessment of Stability in Complex Human Movements,Action Lab,,,,,,,
D.Sternad,The MAGIC Table: A Motion-Analysis Device for Upper-Limb Research,Action Lab,,,,,,,
S.Bazzi,Assessment of Stability in Complex Human Movements,Action Lab,,,,,,,
M.Sadeghi,From Action to Interaction; Complex Object Manipulation:,Action Lab,,,,,,,
M.Russo,Assessment of Stability in Complex Human Movements:,Action Lab,,,,,,,
A.Krotov,The MAGIC Table: A Motion-Analysis Device for Upper-Limb Research:,Action Lab,,,,,,,
B.Gossart,From Action to Interaction; Complex Object Manipulation:,Action Lab,,,,,,,
S.Bond,Assessment of Stability in Complex Human Movements:,Action Lab,,,,,,,
A.Nugent,The MAGIC Table: A Motion-Analysis Device for Upper-Limb Research:,Action Lab,,,,,,,
R.Carrier,Computational modelling of intestinal drug delivery environment,Advanced Drug Delivery Research Laboratory,,,,,,,
R.Carrier,Analysis and modulation of mucus barrier properties,Advanced Drug Delivery Research Laboratory,,,,,,,
R.Carrier,Biomaterials for regenerative medicine,Advanced Drug Delivery Research Laboratory,,,,,,,
J.Kundu,Computational modelling of intestinal drug delivery environment,Advanced Drug Delivery Research Laboratory,,,,,,,
T.Carlson,Analysis and modulation of mucus barrier properties,Advanced Drug Delivery Research Laboratory,,,,,,,
M.Kamath,Analysis and modulation of mucus barrier properties,Advanced Drug Delivery Research Laboratory,,,,,,,
J.Lock,Analysis and modulation of mucus barrier properties,Advanced Drug Delivery Research Laboratory,,,,,,,
O.Rezhdo,Computational modelling of intestinal drug delivery environment,Advanced Drug Delivery Research Laboratory,,,,,,,
L.Speciner,Biomaterials for regenerative medicine,Advanced Drug Delivery Research Laboratory,,,,,,,
E.Cady,Biomaterials for regenerative medicine,Advanced Drug Delivery Research Laboratory,,,,,,,
J.Harris,Computational modelling of intestinal drug delivery environment,Advanced Drug Delivery Research Laboratory,,,,,,,
K.Halligan,Biomaterials for regenerative medicine,Advanced Drug Delivery Research Laboratory,,,,,,,
A.Satpute,"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",Advanced Drug Delivery Research Laboratory,,,,,,,
A.Satpute,Modeling networks and network dynamics,Advanced Drug Delivery Research Laboratory,,,,,,,
A.Satpute,Neural basis of affective experience,Advanced Drug Delivery Research Laboratory,,,,,,,
A.Satpute,Cognitive control in social and affective neuroscience,Advanced Drug Delivery Research Laboratory,,,,,,,
A.Satpute,Concepts and Emotion,Advanced Drug Delivery Research Laboratory,,,,,,,
